Topic,Difficulty,Mean,Median,Variance
Binary Tree,0,67.57,68.9,125.02
Binary Tree,1,64.96,65.5,136.64
Binary Tree,2,51.41,51.45,110.13
Matrix,0,68.29,69.4,144.3
Matrix,1,58.27,56.75,202.5
Matrix,2,48.61,48.75,215.47
Array,0,66.69,68.25,207.65
Array,1,53.01,52.3,212.09
Array,2,43.97,43.84,192.09
Linked List,0,69.38,67.2,180.74
Linked List,1,61.54,61.1,208.8
Linked List,2,51.24,46.2,49.91
Monotonic Queue,0,-1,-1,-1
Monotonic Queue,1,47.4,46.0,24.22
Monotonic Queue,2,37.44,35.5,221.46
String,0,65.35,66.6,236.79
String,1,54.49,55.3,212.73
String,2,41.58,40.95,205.22
Union Find,0,53.8,53.8,0.0
Union Find,1,59.66,60.7,103.05
Union Find,2,47.12,46.25,145.92
Binary Search Tree,0,68.38,61.6,117.56
Binary Search Tree,1,65.2,66.3,211.01
Binary Search Tree,2,48.0,48.0,31.36
Segment Tree,0,-1,-1,-1
Segment Tree,1,52.47,55.9,214.81
Segment Tree,2,33.26,31.75,154.33
Hash Table,0,66.06,66.85,189.86
Hash Table,1,54.05,53.65,219.26
Hash Table,2,42.54,41.5,182.56
Binary Indexed Tree,0,-1,-1,-1
Binary Indexed Tree,1,57.42,55.9,225.36
Binary Indexed Tree,2,34.48,35.75,130.5
Heap (Priority Queue),0,69.2,69.9,120.88
Heap (Priority Queue),1,50.09,48.7,144.23
Heap (Priority Queue),2,46.17,47.25,200.1
Monotonic Stack,0,76.0,76.0,7.29
Monotonic Stack,1,53.93,53.8,262.86
Monotonic Stack,2,42.94,39.25,288.11
Graph,0,63.4,53.8,271.78
Graph,1,53.45,52.8,129.25
Graph,2,48.3,47.7,168.91
Tree,0,68.19,71.2,128.96
Tree,1,64.29,64.85,131.94
Tree,2,49.7,49.09,183.36
Trie,0,63.67,66.94,143.93
Trie,1,57.38,57.65,139.44
Trie,2,42.95,42.55,94.5
Ordered Set,0,75.9,75.9,0.0
Ordered Set,1,48.27,44.8,154.12
Ordered Set,2,42.06,42.05,168.87
Doubly-Linked List,0,95.7,95.7,0.0
Doubly-Linked List,1,64.32,60.6,193.78
Doubly-Linked List,2,45.5,45.2,0.24
Stack,0,72.13,73.9,115.65
Stack,1,58.59,60.95,226.88
Stack,2,46.53,44.6,231.11
Queue,0,71.34,70.0,37.38
Queue,1,57.47,54.3,158.02
Queue,2,40.29,37.5,224.02
Suffix Array,0,-1,-1,-1
Suffix Array,1,-1,-1,-1
Suffix Array,2,28.2,28.6,57.58
Sliding Window,0,57.71,59.4,160.2
Sliding Window,1,48.18,48.0,189.722
Sliding Window,2,39.72,36.84,279.11
Two Pointers,0,62.76,61.8,211.09
Two Pointers,1,54.46,53.9,238.94
Two Pointers,2,43.27,40.59,158.24
Divide and Conquer,0,66.58,65.3,28.75
Divide and Conquer,1,59.21,62.4,182.22
Divide and Conquer,2,43.03,42.7,148.64
Radix Sort,0,-1,-1,-1
Radix Sort,1,49.86,47.6,30.73
Radix Sort,2,-1,-1,-1
Topological Sort,0,-1,-1,-1
Topological Sort,1,48,50.3,142.08
Topological Sort,2,49.98,49.7,192.91
Minimum Spanning Tree,0,-1,-1,-1
Minimum Spanning Tree,1,67.7,67.7,0.0
Minimum Spanning Tree,2,67.2,67.2,0.0
Bucket Sort,0,-1,-1,-1
Bucket Sort,1,60.08,58.6,69.68
Bucket Sort,2,23.1,23.1,0.0
Line Sweep,0,-1,-1,-1
Line Sweep,1,-1,-1,-1
Line Sweep,2,39.92,43.2,177.87
Breadth-First Search,0,65.76,63.6,101.451
Breadth-First Search,1,58.03,58.59,126.62
Breadth-First Search,2,47.87,48.85,145.58
Counting Sort,0,81.96,80.9,22.81
Counting Sort,1,56.93,57.5,196.24
Counting Sort,2,-1,-1,-1
Quickselect,0,-1,-1,-1
Quickselect,1,55.1,62.4,145.09
Quickselect,2,-1,-1,-1
Binary Search,0,61.41,61.45,153.98
Binary Search,1,47.76,46.8,155.36
Binary Search,2,38.75,38.84,175.8
Sorting,0,67.38,69.4,161.51
Sorting,1,52.97,52.95,209.45
Sorting,2,46.06,45.2,193.43
Depth-First Search,0,67.67,70.65,123.22
Depth-First Search,1,60.65,61.1,138.79
Depth-First Search,2,48.63,49.0,157
Merge Sort,0,-1,-1,-1
Merge Sort,1,58.7,58.7,1.43
Merge Sort,2,41.41,41.5,45.3
String Matching,0,53.7,54.34,219.5
String Matching,1,45.27,41.4,251.23
String Matching,2,31.99,33.45,101.11
Reservoir Sampling,0,-1,-1,-1
Reservoir Sampling,1,52.57,53.05,124.44
Reservoir Sampling,2,-1,-1,-1
Bit Manipulation,0,70.33,72.19,165.89
Bit Manipulation,1,56.76,57.9,292.43
Bit Manipulation,2,44.04,45.0,230.59
Data Stream,0,74.12,76.35,83.08
Data Stream,1,58.58,54.45,109.64
Data Stream,2,51.67,52.35,91.59
Randomized,0,-1,-1,-1
Randomized,1,50.8,47.5,81.52
Randomized,2,34.6,34.6,0.66
Database,0,69.45,71.5,192.28
Database,1,61.88,61.25,221.57
Database,2,55.48,54.7,175.02
Number Theory,0,61.51,64.35,373.03
Number Theory,1,44.3,38.4,250.08
Number Theory,2,35.07,36.85,190.67
Bitmask,0,-1,-1,-1
Bitmask,1,44.51,39.3,246
Bitmask,2,41.92,41.59,202.69
Math,0,65.57,67.0,249.96
Math,1,51.97,51.6,216.09
Math,2,40.64,40.1,159.58
Rejection Sampling,0,-1,-1,-1
Rejection Sampling,1,43.05,43.05,8.12
Rejection Sampling,2,-1,-1,-1
Iterator,0,-1,-1,-1
Iterator,1,66.28,64.9,37.20
Iterator,2,-1,-1,-1
Eulerian Circuit,0,-1,-1,-1
Eulerian Circuit,1,-1,-1,-1
Eulerian Circuit,2,48.46,44.8,39.38
Enumeration,0,62.33,63.5,235.33
Enumeration,1,44.43,43.9,212.51
Enumeration,2,37.49,38.35,202.01
Biconnected Component,0,-1,-1,-1
Biconnected Component,1,-1,-1,-1
Biconnected Component,2,56.8,56.8,0.0
Greedy,0,64.33,65.8,234.31
Greedy,1,51.51,50.9,224.81
Greedy,2,44.18,43.35,235.87
Combinatorics,0,81.3,79.6,22.72
Combinatorics,1,50.17,51.0,282.37
Combinatorics,2,38.99,37.6,234.55
Probability and Statistics,0,-1,-1,-1
Probability and Statistics,1,50.64,45.9,78.48
Probability and Statistics,2,60.2,60.2,0.0
Shortest Path,0,-1,-1,-1
Shortest Path,1,45.41,39.9,172.20
Shortest Path,2,50.69,51.8,162.91
Hash Function,0,61.94,65.85,57.1
Hash Function,1,51.21,51.0,322.47
Hash Function,2,35.07,33.0,141.49
Geometry,0,59.08,61.3,228.43
Geometry,1,50.65,48.0,172.87
Geometry,2,36.52,34.6,92.24
Dynamic Programming,0,62.28,64.3,126.68
Dynamic Programming,1,49.74,50.25,182.61
Dynamic Programming,2,44.27,44.5,197.34
Counting,0,67.35,70.7,202.85
Counting,1,53.60,54.0,220.96
Counting,2,41.43,41.34,215.99
Prefix Sum,0,70.96,72.1,156.14
Prefix Sum,1,49.6,48.4,237.2
Prefix Sum,2,40.17,37.2,222.28
Strongly Connected Component,0,-1,-1,-1
Strongly Connected Component,1,-1,-1,-1
Strongly Connected Component,2,57.2,59.7,87.5
Rolling Hash,0,66.1,66.1,0.0
Rolling Hash,1,49.12,51.0,178.02
Rolling Hash,2,34.84,33.0,116.92
Recursion,0,59.5,54.4,132.58
Recursion,1,57.8,60.1,248.37
Recursion,2,44.75,43.2,177.75
Memoization,0,62.96,63.7,59.17
Memoization,1,49.79,47.4,283.75
Memoization,2,46.38,48.5,124.12
Backtracking,0,69.39,65.0,184.64
Backtracking,1,59.03,59.34,198.54
Backtracking,2,53.01,52.2,244.93
Design,0,70.52,67.2,147.09
Design,1,56.04,56.4,180.27
Design,2,46.81,45.1,177.18
Brainteaser,0,63.4,63.4,36.0
Brainteaser,1,56.6,57.9,239.55
Brainteaser,2,61.6,61.6,0.0
Simulation,0,68.51,70.0,165.45
Simulation,1,61.57,60.3,228.91
Simulation,2,42.78,45.7,151.81
Concurrency,0,71.45,71.45,1.56
Concurrency,1,64.38,64.65,51.86
Concurrency,2,-1,-1,-1
Game Theory,0,59.56,57.4,53.38
Game Theory,1,56.93,58.05,245.83
Game Theory,2,47.14,41.2,135.81
Shell,0,30.1,30.1,12.96
Shell,1,26.5,26.5,0.15
Shell,2,-1,-1,-1
Interactive,0,56.65,49.75,292.78
Interactive,1,70.61,69.9,163.01
Interactive,2,53.36,42.6,260.44
